binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 119|, Acc: 96.99516296386719%s (VN: 34948.0 VP: 33840.0 FN: 413.0 FP: 1718.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 110|, Acc: 94.1849136352539%s (VN: 32963.0 VP: 33832.0 FN: 421.0 FP: 3703.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 121|, Acc: 97.60994720458984%s (VN: 35394.0 VP: 33830.0 FN: 423.0 FP: 1272.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 32|, Acc: 80.8288345336914%s (VN: 23474.0 VP: 33849.0 FN: 404.0 FP: 13192.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 68|, Acc: 73.91954040527344%s (VN: 24303.0 VP: 28120.0 FN: 6133.0 FP: 12363.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 41|, Acc: 70.49591827392578%s (VN: 21854.0 VP: 28141.0 FN: 6112.0 FP: 14812.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 32|, Acc: 80.8288345336914%s (VN: 23474.0 VP: 33849.0 FN: 404.0 FP: 13192.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 72|, Acc: 97.57469940185547%s (VN: 35369.0 VP: 33830.0 FN: 423.0 FP: 1297.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 44|, Acc: 86.96400451660156%s (VN: 27832.0 VP: 33842.0 FN: 411.0 FP: 8834.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 32|, Acc: 80.8288345336914%s (VN: 23474.0 VP: 33849.0 FN: 404.0 FP: 13192.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 104|, Acc: 97.16577911376953%s (VN: 35071.0 VP: 33838.0 FN: 415.0 FP: 1595.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 76|, Acc: 97.57469940185547%s (VN: 35369.0 VP: 33830.0 FN: 423.0 FP: 1297.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 73|, Acc: 80.8288345336914%s (VN: 23474.0 VP: 33849.0 FN: 404.0 FP: 13192.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 70|, Acc: 97.57469940185547%s (VN: 35369.0 VP: 33830.0 FN: 423.0 FP: 1297.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 91|, Acc: 97.57469940185547%s (VN: 35369.0 VP: 33830.0 FN: 423.0 FP: 1297.0)
